channel_id	electrode_id	type	unit	sampling_frequency	gain
AP170	s1e74	EXT	V	30000.0	3.02734375e-06
AP171	s1e75	EXT	V	30000.0	3.02734375e-06
AP172	s1e76	EXT	V	30000.0	3.02734375e-06
AP173	s1e77	EXT	V	30000.0	3.02734375e-06
AP174	s1e78	EXT	V	30000.0	3.02734375e-06
AP175	s1e79	EXT	V	30000.0	3.02734375e-06
AP176	s1e80	EXT	V	30000.0	3.02734375e-06
AP177	s1e81	EXT	V	30000.0	3.02734375e-06
AP178	s1e82	EXT	V	30000.0	3.02734375e-06
AP179	s1e83	EXT	V	30000.0	3.02734375e-06
AP180	s1e84	EXT	V	30000.0	3.02734375e-06
AP181	s1e85	EXT	V	30000.0	3.02734375e-06
AP182	s1e86	EXT	V	30000.0	3.02734375e-06
AP183	s1e87	EXT	V	30000.0	3.02734375e-06
AP184	s1e88	EXT	V	30000.0	3.02734375e-06
AP185	s1e89	EXT	V	30000.0	3.02734375e-06
AP186	s1e90	EXT	V	30000.0	3.02734375e-06
AP187	s1e91	EXT	V	30000.0	3.02734375e-06
AP188	s1e92	EXT	V	30000.0	3.02734375e-06
AP189	s1e93	EXT	V	30000.0	3.02734375e-06
AP190	s1e94	EXT	V	30000.0	3.02734375e-06
AP191	s1e95	EXT	V	30000.0	3.02734375e-06
AP192	s0e96	EXT	V	30000.0	3.02734375e-06
AP193	s0e97	EXT	V	30000.0	3.02734375e-06
AP194	s0e98	EXT	V	30000.0	3.02734375e-06
AP195	s0e99	EXT	V	30000.0	3.02734375e-06
AP196	s0e100	EXT	V	30000.0	3.02734375e-06
AP197	s0e101	EXT	V	30000.0	3.02734375e-06
AP198	s0e102	EXT	V	30000.0	3.02734375e-06
AP199	s0e103	EXT	V	30000.0	3.02734375e-06
AP200	s0e104	EXT	V	30000.0	3.02734375e-06
AP201	s0e105	EXT	V	30000.0	3.02734375e-06
AP202	s0e106	EXT	V	30000.0	3.02734375e-06
AP203	s0e107	EXT	V	30000.0	3.02734375e-06
AP204	s0e108	EXT	V	30000.0	3.02734375e-06
AP205	s0e109	EXT	V	30000.0	3.02734375e-06
AP206	s0e110	EXT	V	30000.0	3.02734375e-06
AP207	s0e111	EXT	V	30000.0	3.02734375e-06
AP208	s2e16	EXT	V	30000.0	3.02734375e-06
AP209	s2e17	EXT	V	30000.0	3.02734375e-06
AP210	s2e18	EXT	V	30000.0	3.02734375e-06
AP211	s2e19	EXT	V	30000.0	3.02734375e-06
AP212	s2e20	EXT	V	30000.0	3.02734375e-06
AP213	s2e21	EXT	V	30000.0	3.02734375e-06
AP214	s2e22	EXT	V	30000.0	3.02734375e-06
AP215	s2e23	EXT	V	30000.0	3.02734375e-06
AP216	s2e24	EXT	V	30000.0	3.02734375e-06
AP217	s2e25	EXT	V	30000.0	3.02734375e-06
AP218	s2e26	EXT	V	30000.0	3.02734375e-06
AP219	s2e27	EXT	V	30000.0	3.02734375e-06
AP220	s2e28	EXT	V	30000.0	3.02734375e-06
AP221	s2e29	EXT	V	30000.0	3.02734375e-06
AP222	s2e30	EXT	V	30000.0	3.02734375e-06
AP223	s2e31	EXT	V	30000.0	3.02734375e-06
AP224	s2e32	EXT	V	30000.0	3.02734375e-06
AP225	s2e33	EXT	V	30000.0	3.02734375e-06
AP226	s2e34	EXT	V	30000.0	3.02734375e-06
AP227	s2e35	EXT	V	30000.0	3.02734375e-06
AP228	s2e36	EXT	V	30000.0	3.02734375e-06
AP229	s2e37	EXT	V	30000.0	3.02734375e-06
AP230	s2e38	EXT	V	30000.0	3.02734375e-06
AP231	s2e39	EXT	V	30000.0	3.02734375e-06
AP232	s2e40	EXT	V	30000.0	3.02734375e-06
AP233	s2e41	EXT	V	30000.0	3.02734375e-06
AP234	s2e42	EXT	V	30000.0	3.02734375e-06
AP235	s2e43	EXT	V	30000.0	3.02734375e-06
AP236	s2e44	EXT	V	30000.0	3.02734375e-06
AP237	s2e45	EXT	V	30000.0	3.02734375e-06
AP238	s2e46	EXT	V	30000.0	3.02734375e-06
AP239	s2e47	EXT	V	30000.0	3.02734375e-06
AP240	s1e96	EXT	V	30000.0	3.02734375e-06
AP241	s1e97	EXT	V	30000.0	3.02734375e-06
AP242	s1e98	EXT	V	30000.0	3.02734375e-06
AP243	s1e99	EXT	V	30000.0	3.02734375e-06
AP244	s1e100	EXT	V	30000.0	3.02734375e-06
AP245	s1e101	EXT	V	30000.0	3.02734375e-06
AP246	s1e102	EXT	V	30000.0	3.02734375e-06
AP247	s1e103	EXT	V	30000.0	3.02734375e-06
AP248	s1e104	EXT	V	30000.0	3.02734375e-06
AP249	s1e105	EXT	V	30000.0	3.02734375e-06
AP250	s1e106	EXT	V	30000.0	3.02734375e-06
AP251	s1e107	EXT	V	30000.0	3.02734375e-06
AP252	s1e108	EXT	V	30000.0	3.02734375e-06
AP253	s1e109	EXT	V	30000.0	3.02734375e-06
AP254	s1e110	EXT	V	30000.0	3.02734375e-06
