electrode_id	probe_id	location
236	NeuropixelsImec1	left dCA1
237	NeuropixelsImec1	left dCA1
238	NeuropixelsImec1	left dCA1
239	NeuropixelsImec1	left dCA1
240	NeuropixelsImec1	left dCA1
241	NeuropixelsImec1	left dCA1
242	NeuropixelsImec1	left dCA1
243	NeuropixelsImec1	left dCA1
244	NeuropixelsImec1	left dCA1
245	NeuropixelsImec1	left dCA1
246	NeuropixelsImec1	left dCA1
247	NeuropixelsImec1	left dCA1
248	NeuropixelsImec1	left dCA1
249	NeuropixelsImec1	left dCA1
250	NeuropixelsImec1	left dCA1
251	NeuropixelsImec1	left dCA1
252	NeuropixelsImec1	left dCA1
253	NeuropixelsImec1	left dCA1
254	NeuropixelsImec1	left dCA1
255	NeuropixelsImec1	left dCA1
256	NeuropixelsImec1	left dCA1
257	NeuropixelsImec1	left dCA1
258	NeuropixelsImec1	left dCA1
259	NeuropixelsImec1	left dCA1
260	NeuropixelsImec1	left dCA1
261	NeuropixelsImec1	left dCA1
262	NeuropixelsImec1	left dCA1
263	NeuropixelsImec1	left dCA1
264	NeuropixelsImec1	left dCA1
265	NeuropixelsImec1	left dCA1
266	NeuropixelsImec1	left dCA1
267	NeuropixelsImec1	left dCA1
268	NeuropixelsImec1	left dCA1
269	NeuropixelsImec1	left dCA1
270	NeuropixelsImec1	left dCA1
271	NeuropixelsImec1	left dCA1
272	NeuropixelsImec1	left dCA1
273	NeuropixelsImec1	left dCA1
274	NeuropixelsImec1	left dCA1
275	NeuropixelsImec1	left dCA1
276	NeuropixelsImec1	left dCA1
277	NeuropixelsImec1	left dCA1
278	NeuropixelsImec1	left dCA1
279	NeuropixelsImec1	left dCA1
280	NeuropixelsImec1	left dCA1
281	NeuropixelsImec1	left dCA1
282	NeuropixelsImec1	left dCA1
283	NeuropixelsImec1	left dCA1
284	NeuropixelsImec1	left dCA1
285	NeuropixelsImec1	left dCA1
286	NeuropixelsImec1	left dCA1
287	NeuropixelsImec1	left dCA1
288	NeuropixelsImec1	left dCA1
289	NeuropixelsImec1	left dCA1
290	NeuropixelsImec1	left dCA1
291	NeuropixelsImec1	left dCA1
292	NeuropixelsImec1	left dCA1
293	NeuropixelsImec1	left dCA1
294	NeuropixelsImec1	left dCA1
295	NeuropixelsImec1	left dCA1
296	NeuropixelsImec1	left dCA1
297	NeuropixelsImec1	left dCA1
298	NeuropixelsImec1	left dCA1
299	NeuropixelsImec1	left dCA1
300	NeuropixelsImec1	left dCA1
301	NeuropixelsImec1	left dCA1
302	NeuropixelsImec1	left dCA1
303	NeuropixelsImec1	left dCA1
304	NeuropixelsImec1	left dCA1
305	NeuropixelsImec1	left dCA1
306	NeuropixelsImec1	left dCA1
307	NeuropixelsImec1	left dCA1
308	NeuropixelsImec1	left dCA1
309	NeuropixelsImec1	left dCA1
310	NeuropixelsImec1	left dCA1
311	NeuropixelsImec1	left dCA1
312	NeuropixelsImec1	left dCA1
313	NeuropixelsImec1	left dCA1
314	NeuropixelsImec1	left dCA1
315	NeuropixelsImec1	left dCA1
316	NeuropixelsImec1	left dCA1
317	NeuropixelsImec1	left dCA1
318	NeuropixelsImec1	left dCA1
319	NeuropixelsImec1	left dCA1
320	NeuropixelsImec1	left dCA1
321	NeuropixelsImec1	left dCA1
322	NeuropixelsImec1	left dCA1
323	NeuropixelsImec1	left dCA1
